Date,Open,High,Low,Close,Volume,Stock,LABEL
2014-02-12,195.78,198.27,194.32,195.32,5177996,TSLA,-1
2016-12-08,192.05,192.5,189.54,192.29,3108464,TSLA,-1
2015-08-27,231.0,244.75,230.81,242.99,7655900,TSLA,1
2014-05-29,210.57,212.49,207.72,210.24,3692851,TSLA,-1
2010-08-03,21.0,21.95,20.82,21.95,1231023,TSLA,-1
2014-04-15,199.09,199.29,184.32,193.91,13664396,TSLA,1
2011-12-28,28.99,29.24,28.04,28.51,575138,TSLA,-1
2015-01-23,200.16,203.5,198.33,201.29,4458009,TSLA,1
2011-07-08,29.89,29.89,28.59,28.81,1240580,TSLA,-1
2010-11-03,21.28,22.5,21.16,21.77,374199,TSLA,-1
2011-12-15,28.86,29.17,28.12,28.62,646962,TSLA,1
2012-09-17,32.35,32.78,31.51,32.54,3212900,TSLA,1
2012-09-21,31.1,31.49,29.54,30.02,1869970,TSLA,-1
2014-11-11,242.55,251.82,242.0,251.08,7951559,TSLA,1
2015-12-08,227.52,228.8,224.2,226.72,2687636,TSLA,-1
2012-06-11,30.31,31.0,28.96,29.12,635947,TSLA,-1
2015-05-27,248.51,249.5,245.55,247.43,3408200,TSLA,1
2015-06-19,262.4,263.8,260.1,262.51,2463000,TSLA,1
2017-01-11,229.07,229.98,226.68,229.73,3419709,TSLA,-1
2016-08-04,225.69,230.86,222.05,230.61,3448697,TSLA,1
2012-12-11,34.6,35.5,34.46,35.28,1572310,TSLA,-1
2015-12-02,237.0,238.6,231.23,231.99,2980768,TSLA,1
2016-10-17,197.05,198.39,192.0,193.96,3888796,TSLA,-1
2015-05-28,247.03,251.8,245.05,251.45,3646480,TSLA,1
2013-01-18,34.52,34.78,33.82,34.52,3555074,TSLA,-1
2010-09-02,20.37,21.24,20.31,21.06,487060,TSLA,-1
2013-08-20,148.65,149.78,147.0,149.58,6408666,TSLA,1
2012-09-24,29.51,31.03,29.4,30.66,1301804,TSLA,-1
2015-09-25,266.61,266.91,256.15,256.91,3773300,TSLA,1
2013-08-23,157.0,162.3,155.0,161.84,12925441,TSLA,-1
2015-12-01,231.06,238.0,231.05,237.19,3733955,TSLA,1
2013-03-13,39.0,39.49,38.81,38.98,821900,TSLA,-1
2017-09-12,364.49,368.76,360.4,362.75,5966716,TSLA,1
2013-01-17,34.16,34.85,33.92,34.38,1436604,TSLA,-1
2014-10-21,234.28,235.39,230.8,235.34,4125337,TSLA,1
2014-01-03,150.0,152.19,148.6,149.56,4696630,TSLA,-1
2010-12-27,28.02,28.58,25.06,25.55,9301929,TSLA,-1
2017-05-22,312.8,314.37,306.8,310.35,4324962,TSLA,1
2015-08-03,266.29,266.71,257.07,259.99,2553108,TSLA,-1
2017-08-15,365.2,365.49,359.37,362.33,3077200,TSLA,1
2014-04-23,216.25,216.74,207.0,207.99,7290336,TSLA,-1
2013-02-19,37.36,39.29,37.31,39.28,2701340,TSLA,-1
2015-05-19,248.34,251.0,246.15,247.14,3674231,TSLA,1
2010-06-30,25.79,30.42,23.3,23.83,17194394,TSLA,-1
2016-11-21,185.04,188.89,184.41,184.7,4329418,TSLA,1
2012-10-31,27.7,28.35,27.37,28.131,775142,TSLA,-1
2013-02-04,38.42,38.42,37.59,37.74,1127989,TSLA,1
2011-03-22,22.74,22.86,22.0,22.19,582813,TSLA,-1
2010-09-03,20.87,21.3,20.66,21.05,425956,TSLA,-1
2014-01-23,177.23,182.38,173.42,181.5,7887989,TSLA,1
2012-12-20,34.51,34.788000000000004,34.05,34.43,921194,TSLA,-1
2013-10-30,164.63,167.68,158.17,159.22,8400365,TSLA,1
2014-01-09,152.5,153.43,146.85,147.53,5384155,TSLA,-1
2014-07-01,242.46,243.44,238.7,239.72,4340128,TSLA,1
2012-02-21,34.87,34.87,33.81,34.5,1135788,TSLA,-1
2013-03-05,36.0,36.92,35.79,36.65,2086969,TSLA,1
2016-07-26,227.69,230.0,225.3,229.51,3039023,TSLA,1
2017-01-10,232.0,232.0,226.89,229.87,3596489,TSLA,1
2014-07-31,229.26,231.4,221.5,223.3,7718864,TSLA,-1
2014-04-17,199.61,202.29,194.08,198.12,5928259,TSLA,-1
2015-03-24,201.58,203.79,199.75,201.72,3649800,TSLA,1
2013-08-22,149.25,157.48,148.14,157.1,10585453,TSLA,-1
2017-10-26,327.78,330.23,323.2,326.17,5012087,TSLA,1
2017-10-02,342.52,343.7,335.51,341.53,5243618,TSLA,1
2011-03-24,22.14,22.38,21.98,22.33,462160,TSLA,-1
2011-12-05,33.53,35.0,33.43,34.42,1160050,TSLA,1
2012-01-31,29.88,30.0,28.87,29.07,956413,TSLA,-1
2014-07-14,219.99,228.79,215.45,226.7,7206545,TSLA,1
2014-11-13,250.62,255.75,250.25,251.7,6233778,TSLA,1
2015-04-21,205.8,210.75,204.31,209.41,3430504,TSLA,-1
2011-11-07,31.64,32.0,30.75,31.27,1266269,TSLA,-1
2017-06-12,357.99,364.5,350.62,359.01,10508261,TSLA,1
2010-11-05,24.87,24.97,23.72,24.44,987386,TSLA,-1
2015-11-27,231.06,232.25,227.01,231.61,1949300,TSLA,1
2012-04-30,33.27,33.36,32.58,33.13,413848,TSLA,-1
2016-01-13,212.01,212.65,200.0,200.31,3821277,TSLA,1
2010-11-09,25.0,25.69,24.05,24.63,956649,TSLA,-1
2014-07-29,226.61,228.3,224.86,225.01,3384687,TSLA,1
2013-03-11,38.87,39.44,38.65,39.1,1579440,TSLA,-1
2014-12-22,219.99,224.06,218.26,222.6,4806071,TSLA,1
2014-04-14,207.94,208.44,194.41,198.09,7692903,TSLA,-1
2015-11-04,227.0,232.74,225.2,231.63,12725052,TSLA,1
2015-01-13,203.32,207.61,200.91,204.25,4447745,TSLA,-1
2013-03-19,35.25,35.6,34.94,35.08,1098475,TSLA,-1
2011-08-17,26.39,26.65,25.51,25.83,643672,TSLA,-1
